"id","fqdn/ip","port","severity","finding","cve","cwe"
"certificate_compression","web-app.diagoriente.beta.gouv.fr/135.125.83.158","443","INFO","none","",""
"clientAuth","web-app.diagoriente.beta.gouv.fr/135.125.83.158","443","INFO","none","",""
"cert_numbers","web-app.diagoriente.beta.gouv.fr/135.125.83.158","443","INFO","1","",""
"cert_signatureAlgorithm","web-app.diagoriente.beta.gouv.fr/135.125.83.158","443","OK","SHA256 with RSA","",""
"cert_keySize","web-app.diagoriente.beta.gouv.fr/135.125.83.158","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","web-app.diagoriente.beta.gouv.fr/135.125.83.158","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","web-app.diagoriente.beta.gouv.fr/135.125.83.158","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","web-app.diagoriente.beta.gouv.fr/135.125.83.158","443","INFO","04E914CC9DD8B07EB0D1E7B945D821FF9695","",""
"cert_serialNumberLen","web-app.diagoriente.beta.gouv.fr/135.125.83.158","443","INFO","18","",""
"cert_fingerprintSHA1","web-app.diagoriente.beta.gouv.fr/135.125.83.158","443","INFO","DA2F56FEE8CC2BC481C0E12DFD810E4EBD46503B","",""
"cert_fingerprintSHA256","web-app.diagoriente.beta.gouv.fr/135.125.83.158","443","INFO","146947E3B2ABD37529681AB4B0D5A999EF5163CF7ABA807CB15B9EC3DDC78F0D","",""
